Region ,Dead,Lon,Lat
Mediterranean,43.00,26.3885,39.4277
Mediterranean,1.00,26.2888,38.3243
Mediterranean,1.00,26.4604,38.3732
Mediterranean,52.00,15.1172,34.3434
Mediterranean,1.00,12.6049,34.8657
Mediterranean,1.00,-5.3176,35.8838
Mediterranean,43.00,14.5102,32.5051
Mediterranean,4.00,26.3800,39.2741
Mediterranean,2.00,26.6018,39.3192
Mediterranean,6.00,13.7167,32.7500
Mediterranean,12.00,26.5869,39.4107
Mediterranean,1.00,-5.3214,35.8894
Mediterranean,4.00,29.5934,36.1495
Mediterranean,1.00,27.1127,37.2954
Mediterranean,4.00,26.9808,36.9523
Mediterranean,13.00,26.4074,39.4162
Mediterranean,7.00,26.3883,39.2890
Mediterranean,3.00,26.3855,39.2773
Mediterranean,1.00,27.1828,36.8893
Mediterranean,2.00,27.2877,36.8915
Mediterranean,7.00,26.3534,37.7794
Mediterranean,11.00,31.0911,31.5548
Mediterranean,1.00,-70.1862,18.6046
Mediterranean,2.00,27.2877,36.8915
Mediterranean,95.00,12.7826,32.7873
Mediterranean,1.00,25.9489,40.6765
Mediterranean,17.00,27.1820,37.0136
Mediterranean,1.00,26.9667,37.4667
Mediterranean,1.00,26.1751,39.3671
Mediterranean,1.00,26.4864,39.3824
Mediterranean,2.00,26.4507,39.4196
Mediterranean,<Null>,26.6650,39.2357
Mediterranean,13.00,26.0429,39.4456
Mediterranean,13.00,26.4315,39.3877
Mediterranean,1.00,26.2936,38.3286
Mediterranean,10.00,14.4141,35.4607
Mediterranean,3.00,27.9383,36.3528
Mediterranean,750.00,14.6777,35.0300
Mediterranean,1.00,17.2266,35.1738
Mediterranean,41.00,14.4141,35.7465
Mediterranean,<Null>,14.4141,34.8859
Mediterranean,9.00,17.5726,36.1734
Mediterranean,1.00,13.1396,35.4607
Mediterranean,2.00,30.8706,32.2144
Mediterranean,7.00,27.7259,36.7171
Mediterranean,3.00,11.4474,33.7123
Mediterranean,5.00,27.4013,37.0201
Mediterranean,10.00,13.3594,36.0313
Mediterranean,<Null>,12.6672,34.2935
Mediterranean,<Null>,12.9858,34.3616
Mediterranean,<Null>,12.8101,34.3797
Mediterranean,29.00,12.4365,34.5790
Mediterranean,7.00,28.2487,36.5908
Mediterranean,8.00,-2.8612,35.4043
Mediterranean,1.00,14.1659,35.9130
Mediterranean,9.00,14.5323,32.6102
Mediterranean,<Null>,27.3642,36.9993
Mediterranean,2.00,19.0503,39.9771
Mediterranean,<Null>,16.6113,34.3071
Mediterranean,5.00,13.7109,34.8138
